Constituents,Symbol,Macro-Economic Sector
Bharat Dynamics Limited,541143,Industrials
BHARAT ELECTRONICS LTD.,500049,Industrials
BHARAT FORGE LTD.,500493,Consumer Discretionary
BHARAT HEAVY ELECTRICALS LTD.,500103,Industrials
BHARAT PETROLEUM CORPORATION L,500547,Energy
BHARTI AIRTEL LTD.,532454,Telecommunication
Bharti Hexacom Limited,544162,Telecommunication
Bikaji Foods International Lim,543653,Fast Moving Consumer Goods
Billionbrains Garage Ventures,544603,Financial Services
BIOCON LTD.,532523,Healthcare
BIRLA CORPORATION LTD.,500335,Commodities
BIRLASOFT LIMITED,532400,Information Technology
BLACK BOX LIMITED,500463,Information Technology
BlackBuck Limited,544288,Services
BLS International Services Ltd,540073,Consumer Discretionary
BLUE DART EXPRESS LTD.,526612,Services
Blue Jet Healthcare Limited,544009,Healthcare
BLUE STAR LTD.,500067,Consumer Discretionary
BlueStone Jewellery and Lifest,544484,Consumer Discretionary
BOMBAY DYEING & MFG.CO.LTD.,500020,Consumer Discretionary
Borosil Limited,543212,Consumer Discretionary
BOROSIL RENEWABLES LIMITED,502219,Industrials
BOSCH HOME COMFORT INDIA LIMIT,523398,Consumer Discretionary
BOSCH LTD.,500530,Consumer Discretionary
Brainbees Solutions Limited,544226,Consumer Discretionary
BRIGADE ENTERPRISES LTD.,532929,Consumer Discretionary
BRITANNIA INDUSTRIES LTD.,500825,Fast Moving Consumer Goods
C.E. Info Systems Limited,543425,Information Technology
Camlin Fine Sciences Ltd,532834,Commodities
Campus Activewear Limited,543523,Consumer Discretionary
CAN FIN HOMES LTD.,511196,Financial Services
CANARA BANK,532483,Financial Services
Canara HSBC Life Insurance Com,544583,Financial Services
Canara Robeco Asset Management,544580,Financial Services
CANTABIL RETAIL INDIA LTD.,533267,Consumer Discretionary
Capacite Infraprojects Limited,540710,Industrials
Capillary Technologies India L,544614,Information Technology
CAPLIN POINT LABORATORIES LTD.,524742,Healthcare
CAPRI GLOBAL CAPITAL LIMITED,531595,Financial Services
CARBORUNDUM UNIVERSAL LTD.,513375,Industrials
CARE Ratings Limited,534804,Financial Services
CarTrade Tech Limited,543333,Consumer Discretionary
CARYSIL LIMITED,524091,Consumer Discretionary
CASTROL INDIA LTD.,500870,Energy
CCL PRODUCTS (INDIA) LTD.,519600,Fast Moving Consumer Goods
CEAT LTD.,500878,Consumer Discretionary
Ceigall India Limited,544223,Industrials
Cello World Limited,544012,Consumer Discretionary
Cemindia Projects Limited,509496,Industrials
CENTRAL BANK OF INDIA,532885,Financial Services
CENTURY PLYBOARDS (I) LTD.,532548,Consumer Discretionary
