Constituents,Symbol,Macro-Economic Sector
LANDMARK CARS LIMITED,543714,Consumer Discretionary
LARSEN & TOUBRO LTD.,500510,Industrials
Latent View Analytics Limited,543398,Information Technology
Laurus Labs Limited,540222,Healthcare
Laxmi Organic Industries Limit,543277,Commodities
Le Travenues Technology Limite,544192,Consumer Discretionary
Leela Palaces Hotels & Resorts,544408,Consumer Discretionary
Lemon Tree Hotels Limited,541233,Consumer Discretionary
Lenskart Solutions Limited,544600,Consumer Discretionary
LG Electronics India Limited,544576,Consumer Discretionary
LIC HOUSING FINANCE LTD.,500253,Financial Services
LIFE INSURANCE CORPORATION OF,543526,Financial Services
Linde India Limited,523457,Commodities
LLOYDS ENGINEERING WORKS LIMIT,539992,Industrials
LLOYDS ENTERPRISES LIMITED,512463,Commodities
LLOYDS METALS AND ENERGY LTD.,512455,Commodities
LMW Limited,500252,Industrials
Lodha Developers Limited,543287,Consumer Discretionary
LT FOODS LTD.,532783,Fast Moving Consumer Goods
LTM LIMITED,540005,Information Technology
LUMAX AUTO TECHNOLOGIES LTD.,532796,Consumer Discretionary
LUMAX INDUSTRIES LTD.,517206,Consumer Discretionary
LUPIN LTD.,500257,Healthcare
Mahanagar Gas Limited,539957,Energy
MAHANAGAR TELEPHONE NIGAM LTD.,500108,Telecommunication
MAHARASHTRA SCOOTERS LTD.,500266,Financial Services
MAHARASHTRA SEAMLESS LTD.,500265,Industrials
MAHINDRA & MAHINDRA FINANCIAL,532720,Financial Services
MAHINDRA & MAHINDRA LTD.,500520,Consumer Discretionary
MAHINDRA HOLIDAYS & RESORTS IN,533088,Consumer Discretionary
MAHINDRA LIFESPACE DEVELOPERS,532313,Consumer Discretionary
Mahindra Logistics Limited,540768,Services
MAN INFRACONSTRUCTION LTD.,533169,Consumer Discretionary
Manappuram Finance Ltd,531213,Financial Services
MANGALORE REFINERY & PETROCHEM,500109,Energy
Mankind Pharma Limited,543904,Healthcare
Manorama Industries Limited,541974,Fast Moving Consumer Goods
MARICO LTD.,531642,Fast Moving Consumer Goods
MARKSANS PHARMA LTD.,524404,Healthcare
MARUTI SUZUKI INDIA LTD.,532500,Consumer Discretionary
MAS Financial Services Limited,540749,Financial Services
MASTEK LTD.,523704,Information Technology
Max Estates Limited,544008,Consumer Discretionary
Max Financial Services Limited,500271,Financial Services
Max Healthcare Institute Limit,543220,Healthcare
MAYUR UNIQUOTERS LTD.,522249,Consumer Discretionary
Mazagon Dock Shipbuilders Limi,543237,Industrials
Medi Assist Healthcare Service,544088,Financial Services
Medplus Health Services Limite,543427,Consumer Discretionary
Meesho Limited,544632,Consumer Discretionary
Metro Brands Limited,543426,Consumer Discretionary
Metropolis Healthcare Limited,542650,Healthcare
Midwest Limited,544587,Consumer Discretionary
Minda Corporation Limited,538962,Consumer Discretionary
Mishra Dhatu Nigam Limited,541195,Industrials
MMTC LTD.,513377,Services
MOIL LTD.,533286,Commodities
MOLD-TEK PACKAGING LIMITED,533080,Industrials
MOREPEN LABORATORIES LTD.,500288,Healthcare
Motherson Sumi Wiring India Li,543498,Consumer Discretionary
MOTILAL OSWAL FINANCIAL SERVIC,532892,Financial Services
MPHASIS LTD.,526299,Information Technology
MPS LTD.,532440,Consumer Discretionary
MRF LTD.,500290,Consumer Discretionary
Mrs. Bectors Food Specialities,543253,Fast Moving Consumer Goods
MSTC Limited,542597,Services
MTAR Technologies Limited,543270,Industrials
MUKAND LTD.,500460,Industrials
MULTI COMMODITY EXCHANGE OF IN,534091,Financial Services
MUTHOOT FINANCE LTD.,533398,Financial Services
Muthoot Microfin Limited,544055,Financial Services
NACL Industries Limited,524709,Commodities
Narayana Hrudayalaya Limited,539551,Healthcare
NATCO PHARMA LTD.,524816,Healthcare
NATIONAL ALUMINIUM CO.LTD.,532234,Commodities
NATIONAL FERTILIZERS LTD.,523630,Commodities
National Securities Depository,544467,Financial Services
NAVA LIMITED,513023,Utilities
NAVIN FLUORINE INTERNATIONAL L,532504,Commodities
NAVNEET EDUCATION LIMITED,508989,Fast Moving Consumer Goods
Nazara Technologies Limited,543280,Consumer Discretionary
NBCC (India) Limited,534309,Industrials
NCC LIMITED,500294,Industrials
Neogen Chemicals Limited,542665,Commodities
Nephrocare Health Services Lim,544647,Healthcare
NESCO LTD.,505355,Services
NESTLE INDIA LTD.,500790,Fast Moving Consumer Goods
NETWEB TECHNOLOGIES INDIA LIMI,543945,Information Technology
NETWORK18 MEDIA & INVESTMENTS,532798,Consumer Discretionary
NEULAND LABORATORIES LTD.,524558,Healthcare
Newgen Software Technologies L,540900,Information Technology
NHPC LTD.,533098,Utilities
NIIT Learning Systems Limited,543952,Consumer Discretionary
NILKAMAL LTD.,523385,Consumer Discretionary
NIPPON LIFE INDIA ASSET MANAGE,540767,Financial Services
NIRLON LTD.,500307,Services
NITIN SPINNERS LTD.,532698,Consumer Discretionary
NIVA BUPA HEALTH INSURANCE COM,544286,Financial Services
NLC India Limited,513683,Utilities
NMDC LTD.,526371,Commodities
NMDC Steel Limited,543768,Commodities
NOCIL LTD.,500730,Commodities
NOVARTIS INDIA LTD.,500672,Healthcare
NRB BEARINGS LTD.,530367,Consumer Discretionary
NTPC GREEN ENERGY LIMITED,544289,Utilities
NTPC LTD.,532555,Utilities
NUCLEUS SOFTWARE EXPORTS LTD.,531209,Information Technology
Nuvama Wealth Management Limit,543988,Financial Services
Nuvoco Vistas Corporation Limi,543334,Commodities
OBEROI REALTY LTD.,533273,Consumer Discretionary
OIL AND NATURAL GAS CORPORATIO,500312,Energy
OIL INDIA LTD.,533106,Energy
Ola Electric Mobility Limited,544225,Consumer Discretionary
OLECTRA GREENTECH LIMITED,532439,Consumer Discretionary
One 97 Communications Limited,543396,Financial Services
Onesource Specialty Pharma Lim,544292,Healthcare
OPTIEMUS INFRACOM LTD,530135,Telecommunication
ORACLE FINANCIAL SERVICES SOFT,532466,Information Technology
Orchid Pharma Limited,524372,Healthcare
ORIENT CEMENT LTD,535754,Commodities
Orient Electric Limited,541301,Consumer Discretionary
ORIENTAL HOTELS LTD.,500314,Consumer Discretionary
Orkla India Limited,544595,Fast Moving Consumer Goods
Oswal Pumps Limited,544418,Industrials
P N GADGIL JEWELLERS LIMITED,544256,Consumer Discretionary
P.I.INDUSTRIES LTD.,523642,Commodities
PAGE INDUSTRIES LTD.,532827,Consumer Discretionary
PAISALO DIGITAL LIMITED,532900,Financial Services
Paradeep Phosphates Limited,543530,Commodities
Parag Milk Foods Limited,539889,Fast Moving Consumer Goods
Paras Defence and Space Techno,543367,Industrials
PARK MEDI WORLD LIMITED,544645,Healthcare
Patanjali Foods Limited,500368,Fast Moving Consumer Goods
PATEL ENGINEERING LTD.,531120,Industrials
PB Fintech Limited,543390,Financial Services
PC JEWELLER LTD.,534809,Consumer Discretionary
PCBL Chemical Limited,506590,Commodities
PDS LIMITED,538730,Consumer Discretionary
PEARL GLOBAL INDUSTRIES LIMITE,532808,Consumer Discretionary
PERSISTENT SYSTEMS LTD.,533179,Information Technology
PETRONET LNG LTD.,532522,Energy
PFIZER LTD.,500680,Healthcare
PG ELECTROPLAST LTD.,533581,Consumer Discretionary
Physicswallah Limited,544609,Consumer Discretionary
PICCADILY AGRO INDUSTRIES LTD.,530305,Fast Moving Consumer Goods
PIDILITE INDUSTRIES LTD.,500331,Commodities
Pilani Investment And Industri,539883,Financial Services
Pine Labs Limited,544606,Financial Services
Piramal Finance Limited,544597,Financial Services
PIRAMAL PHARMA LIMITED,543635,Healthcare
PITTI ENGINEERING LIMITED,513519,Industrials
PIX TRANSMISSIONS LTD.,500333,Industrials
PNB Housing Finance Limited,540173,Financial Services
PNC Infratech Limited,539150,Industrials
POKARNA LTD.,532486,Consumer Discretionary
POLY MEDICURE LTD.,531768,Healthcare
Polycab India Limited,542652,Industrials
POLYPLEX CORPORATION LTD.,524051,Industrials
POONAWALLA FINCORP LIMITED,524000,Financial Services
POWER FINANCE CORPORATION LTD.,532810,Financial Services
POWER GRID CORPORATION OF INDI,532898,Utilities
Power Mech Projects Limited,539302,Industrials
PRAJ INDUSTRIES LTD.,522205,Industrials
PRAKASH INDUSTRIES LTD.,506022,Commodities
Prataap Snacks Limited,540724,Fast Moving Consumer Goods
PRECISION WIRES INDIA LTD.,523539,Industrials
Premier Energies Limited,544238,Industrials
PRESTIGE ESTATES PROJECTS LTD.,533274,Consumer Discretionary
Pricol Limited,540293,Consumer Discretionary
PRIME FOCUS LTD.,532748,Consumer Discretionary
Prince Pipes and Fittings Limi,542907,Industrials
PRISM JOHNSON LIMITED.,500338,Commodities
PRIVI SPECIALITY CHEMICALS LIM,530117,Commodities
PROCTER & GAMBLE HEALTH LIMITE,500126,Healthcare
PROCTER & GAMBLE HYGIENE & HEA,500459,Fast Moving Consumer Goods
Prudent Corporate Advisory Ser,543527,Financial Services
PSP Projects Limited,540544,Industrials
PTC INDIA LTD.,532524,Utilities
PTC Industries Ltd.,539006,Industrials
PUNJAB & SIND BANK,533295,Financial Services
PUNJAB NATIONAL BANK,532461,Financial Services
PVR INOX LIMITED,532689,Consumer Discretionary
QUALITY POWER ELECTRICAL EQUIP,544367,Industrials
Quess Corp Limited,539978,Services
R R KABEL LIMITED,543981,Industrials
R SYSTEMS INTERNATIONAL LTD.,532735,Information Technology
RADICO KHAITAN LTD.,532497,Fast Moving Consumer Goods
Rail Vikas Nigam Limited,542649,Industrials
RailTel Corporation of India L,543265,Telecommunication
RAIN INDUSTRIES LIMITED,500339,Commodities
Rainbow Children's Medicare Li,543524,Healthcare
RAJRATAN GLOBAL WIRE LTD.,517522,Consumer Discretionary
RALLIS INDIA LTD.,500355,Commodities
RAMCO INDUSTRIES LTD.,532369,Commodities
RAMKRISHNA FORGINGS LTD.,532527,Consumer Discretionary
RAMKY INFRASTRUCTURE LTD.,533262,Industrials
RASHTRIYA CHEMICALS & FERTILIZ,524230,Commodities
RateGain Travel Technologies L,543417,Information Technology
RATNAMANI METALS & TUBES LTD.,520111,Industrials
RATTANINDIA ENTERPRISES LIMITE,534597,Consumer Discretionary
RATTANINDIA POWER LTD.,533122,Utilities
Raymond Lifestyle Limited,544240,Consumer Discretionary
RAYMOND LTD.,500330,Industrials
RBL Bank Limited,540065,Financial Services
REC LIMITED,532955,Financial Services
Redington Limited,532805,Services
REDTAPE Limited,543957,Consumer Discretionary
REFEX INDUSTRIES LTD.,532884,Utilities
RELAXO FOOTWEARS LTD.,530517,Consumer Discretionary
RELIANCE INDUSTRIES LTD.,500325,Energy
RELIANCE POWER LTD.,532939,Utilities
RELIGARE ENTERPRISES LTD.,532915,Financial Services
REPCO HOME FINANCE LTD.,535322,Financial Services
RESPONSIVE INDUSTRIES LTD.,505509,Consumer Discretionary
Restaurant Brands Asia Limited,543248,Consumer Discretionary
RHI MAGNESITA INDIA LIMITED,534076,Industrials
RITES Limited,541556,Industrials
Rolex Rings Limited,543325,Consumer Discretionary
ROSSARI BIOTECH LIMITED,543213,Commodities
Route Mobile Limited,543228,Telecommunication
RPG LIFE SCIENCES LTD.,532983,Healthcare
RPSG VENTURES LIMITED,542333,Services
RUBICON RESEARCH LIMITED,544578,Healthcare
S H Kelkar and Company Limited,539450,Commodities
S.J.S. Enterprises Limited,543387,Consumer Discretionary
Saatvik Green Energy Limited,544526,Industrials
SAFARI INDUSTRIES (INDIA) LTD.,523025,Consumer Discretionary
SAGAR CEMENTS LTD.,502090,Commodities
Sagility Limited,544282,Information Technology
Sai Life Sciences Limited,544306,Healthcare
Sai Silks (Kalamandir) Limited,543989,Consumer Discretionary
Samhi Hotels Limited,543984,Consumer Discretionary
Sammaan Capital Limited,535789,Financial Services
Samvardhana Motherson Internat,517334,Consumer Discretionary
Sandhar Technologies Limited,541163,Consumer Discretionary
SANDUR MANGANESE & IRON ORES L,504918,Commodities
SANGAM (INDIA) LTD.,514234,Consumer Discretionary
SANGHVI MOVERS LTD.,530073,Services
Sanofi Consumer Healthcare Ind,544250,Healthcare
SANOFI INDIA LTD,500674,Healthcare
Sansera Engineering Limited,543358,Consumer Discretionary
Sapphire Foods India Limited,543397,Consumer Discretionary
SARDA ENERGY & MINERALS LTD.,504614,Commodities
SAREGAMA INDIA LTD.,532163,Consumer Discretionary
Sasken Technologies Limited,532663,Information Technology
SAVITA OIL TECHNOLOGIES LTD.,524667,Energy
SBFC Finance Limited,543959,Financial Services
SBI CARDS AND PAYMENT SERVICES,543066,Financial Services
SBI Life Insurance Company Lim,540719,Financial Services
Schaeffler India Limited,505790,Consumer Discretionary
SCHNEIDER ELECTRIC INFRASTRUCT,534139,Industrials
SEAMEC LTD.,526807,Services
Senco Gold Limited,543936,Consumer Discretionary
Seshaasai Technologies Limited,544533,Financial Services
SG FINSERVE LIMITED,539199,Financial Services
SG MART LIMITED,512329,Commodities
SHAILY ENGINEERING PLASTICS LT,501423,Consumer Discretionary
SHAKTI PUMPS (INDIA) LTD.,531431,Industrials
Shalby Limited,540797,Healthcare
SHANTHI GEARS LTD.,522034,Industrials
Sharda Cropchem Limited,538666,Commodities
SHARDA MOTOR INDUSTRIES LTD,535602,Consumer Discretionary
Share India Securities Limited,540725,Financial Services
Sheela Foam Limited,540203,Consumer Discretionary
SHILCHAR TECHNOLOGIES LTD.,531201,Industrials
SHILPA MEDICARE LTD.,530549,Healthcare
SHIPPING CORPORATION OF INDIA,523598,Services
SHIVALIK BIMETAL CONTROLS LTD.,513097,Industrials
SHOPPERS STOP LTD.,532638,Consumer Discretionary
SHREE CEMENT LTD.,500387,Commodities
SHREE RENUKA SUGARS LTD.,532670,Fast Moving Consumer Goods
Shreeji Shipping Global Limite,544490,Services
Shriram Finance Limited,511218,Financial Services
Shyam Metalics and Energy Limi,543299,Industrials
Siemens Energy India Limited,544390,Industrials
SIEMENS LTD.,500550,Industrials
SIGNATUREGLOBAL (INDIA) LIMITE,543990,Consumer Discretionary
SINDHU TRADE LINKS LIMITED,532029,Energy
Sirca Paints India Limited,543686,Consumer Discretionary
SIS LIMITED,540673,Consumer Discretionary
SIYARAM SILK MILLS LTD.,503811,Consumer Discretionary
SJVN LTD,533206,Utilities
SKF INDIA (INDUSTRIAL) LIMITED,544572,Industrials
SKF INDIA LIMITED,500472,Consumer Discretionary
SKIPPER LTD,538562,Industrials
Sky Gold And Diamonds Limited,541967,Consumer Discretionary
SMARTWORKS COWORKING SPACES LI,544447,Services
SML Mahindra Limited,505192,Industrials
SOBHA,532784,Consumer Discretionary
SOLAR INDUSTRIES INDIA LTD.,532725,Commodities
SOLARA ACTIVE PHARMA SCIENCES,541540,Healthcare
Sona BLW Precision Forgings Li,543300,Consumer Discretionary
SONATA SOFTWARE LTD.,532221,Information Technology
SOUTH INDIAN BANK LTD.,532218,Financial Services
SPICEJET LTD.,500285,Services
SPR Auto Technologies Limited,544344,Consumer Discretionary
SRF LTD.,503806,Commodities
Sri Lotus Developers and Realt,544469,Consumer Discretionary
Star Cement Limited,540575,Commodities
Star Health and Allied Insuran,543412,Financial Services
STATE BANK OF INDIA,500112,Financial Services
STEEL AUTHORITY OF INDIA LTD.,500113,Commodities
STEEL STRIPS WHEELS LTD.,513262,Consumer Discretionary
STERLING AND WILSON RENEWABLE,542760,Industrials
STERLITE TECHNOLOGIES LTD.,532374,Telecommunication
STRIDES PHARMA SCIENCE LIMITED,532531,Healthcare
STYLAM INDUSTRIES LIMITED,526951,Consumer Discretionary
Styrenix Performance Materials,506222,Commodities
SUBROS LTD.,517168,Industrials
SUDARSHAN CHEMICAL INDUSTRIES,506655,Commodities
Sudeep Pharma Limited,544619,Commodities
SUMITOMO CHEMICAL INDIA LIMITE,542920,Commodities
SUN PHARMA ADVANCED RESEARCH C,532872,Healthcare
SUN PHARMACEUTICAL INDUSTRIES,524715,Healthcare
SUN TV NETWORK LTD.,532733,Consumer Discretionary
SUNDARAM-CLAYTON LIMITED,544066,Consumer Discretionary
SUNDRAM FASTENERS LTD.,500403,Consumer Discretionary
SUNDROP BRANDS LIMITED,500215,Fast Moving Consumer Goods
SUNFLAG IRON & STEEL CO.LTD.,500404,Industrials
SUNTECK REALTY LTD.,512179,Consumer Discretionary
SUPRAJIT ENGINEERING LTD.,532509,Consumer Discretionary
SUPREME INDUSTRIES LTD.,509930,Industrials
SUPREME PETROCHEM LTD.,500405,Commodities
Supriya Lifescience Limited,543434,Healthcare
SURYA ROSHNI LTD.,500336,Industrials
SUVEN LIFE SCIENCES LTD.,530239,Healthcare
SUZLON ENERGY LTD.,532667,Industrials
Swan Corp Limited,503310,Commodities
SWARAJ ENGINES LTD.,500407,Industrials
SWIGGY LIMITED,544285,Consumer Discretionary
SYMPHONY LIMITED,517385,Consumer Discretionary
Syngene International Limited,539268,Healthcare
Syrma SGS Technology Limited,543573,Industrials
T D POWER SYSTEMS LTD.,533553,Industrials
TAJGVK HOTELS & RESORTS LTD.,532390,Consumer Discretionary
Tamilnad Mercantile Bank Limit,543596,Financial Services
TANFAC INDUSTRIES LTD.,506854,Commodities
TANLA PLATFORMS LIMITED,532790,Information Technology
TARC LIMITED,543249,Consumer Discretionary
TASTY BITE EATABLES LTD.,519091,Fast Moving Consumer Goods
Tata Capital Limited,544574,Financial Services
TATA CHEMICALS LTD.,500770,Commodities
TATA COMMUNICATIONS LTD.,500483,Telecommunication
TATA CONSULTANCY SERVICES LTD.,532540,Information Technology
TATA CONSUMER PRODUCTS LIMITED,500800,Fast Moving Consumer Goods
TATA ELXSI LTD.,500408,Information Technology
TATA INVESTMENT CORPORATION LT,501301,Financial Services
Tata Motors Limited,544569,Industrials
TATA MOTORS PASSENGER VEHICLES,500570,Consumer Discretionary
TATA POWER CO.LTD.,500400,Utilities
TATA STEEL LTD.,500470,Commodities
Tata Technologies Limited,544028,Information Technology
TATA TELESERVICES (MAHARASHTRA,532371,Telecommunication
Tatva Chintan Pharma Chem Limi,543321,Commodities
TBO TEK LIMITED,544174,Consumer Discretionary
TCI Express Limited,540212,Services
TeamLease Services Limited,539658,Services
TECH MAHINDRA LTD.,532755,Information Technology
Techno Electric & Engineering,542141,Industrials
TECHNOCRAFT INDUSTRIES (INDIA),532804,Industrials
Tega Industries Limited,543413,Industrials
Tejas Networks Limited,540595,Telecommunication
Tenneco Clean Air India Limite,544612,Consumer Discretionary
TEXMACO RAIL & ENGINEERING LTD,533326,Industrials
THANGAMAYIL JEWELLERY LTD,533158,Consumer Discretionary
The Anup Engineering Ltd,542460,Industrials
The Bombay Burmah Trading Corp,501425,Fast Moving Consumer Goods
THE INDIAN HOTELS COMPANY LTD,500850,Consumer Discretionary
The New India Assurance Compan,540769,Financial Services
THE PHOENIX MILLS LTD,503100,Consumer Discretionary
THE RAMCO CEMENTS LIMITED,500260,Commodities
THERMAX LTD.,500411,Industrials
THIRUMALAI CHEMICALS LTD.,500412,Commodities
THOMAS COOK (INDIA) LTD.,500413,Consumer Discretionary
Thyrocare Technologies Limited,539871,Healthcare
TILAKNAGAR INDUSTRIES LTD.,507205,Fast Moving Consumer Goods
TIME TECHNOPLAST LTD.,532856,Industrials
TIMEX GROUP INDIA LTD.,500414,Consumer Discretionary
TIMKEN INDIA LTD.,522113,Industrials
TIPS MUSIC LIMITED,532375,Consumer Discretionary
TITAGARH RAIL SYSTEMS LIMITED,532966,Industrials
TITAN COMPANY LIMITED,500114,Consumer Discretionary
TORRENT PHARMACEUTICALS LTD.,500420,Healthcare
TORRENT POWER LTD.,532779,Utilities
TRANSFORMERS AND RECTIFIERS (I,532928,Industrials
TRANSPORT CORPORATION OF INDIA,532349,Services
Transrail Lighting Limited,544317,Industrials
TRAVEL FOOD SERVICES LIMITED,544443,Consumer Discretionary
TRENT LTD.,500251,Consumer Discretionary
TRIDENT LTD.,521064,Consumer Discretionary
TRIVENI ENGINEERING & INDUSTRI,532356,Fast Moving Consumer Goods
Triveni Power Transmission Limited,544824,-
TRIVENI TURBINE LTD.,533655,Industrials
TTK PRESTIGE LTD.,517506,Consumer Discretionary
Tube Investments of India Ltd,540762,Consumer Discretionary
TVS Holdings Limited,520056,Financial Services
TVS MOTOR COMPANY LTD.,532343,Consumer Discretionary
TVS SRICHAKRA LTD.,509243,Consumer Discretionary
TVS Supply Chain Solutions Lim,543965,Services
UCO BANK,532505,Financial Services
UFLEX LTD.,500148,Industrials
UGRO CAPITAL LIMITED,511742,Financial Services
Ujjivan Small Finance Bank Lim,542904,Financial Services
ULTRATECH CEMENT LTD.,532538,Commodities
UNICHEM LABORATORIES LTD.,506690,Healthcare
Unimech Aerospace and Manufact,544322,Industrials
UNION BANK OF INDIA,532477,Financial Services
Uniparts India Limited,543689,Consumer Discretionary
UNITED BREWERIES LTD.,532478,Fast Moving Consumer Goods
UNITED SPIRITS LTD.,532432,Fast Moving Consumer Goods
UNO Minda Limited,532539,Consumer Discretionary
UPL LIMITED,512070,Commodities
Urban Company Limited,544515,Consumer Discretionary
USHA MARTIN LTD.,517146,Industrials
UTI Asset Management Company L,543238,Financial Services
UTKARSH SMALL FINANCE BANK LIM,543942,Financial Services
V-GUARD INDUSTRIES LTD.,532953,Consumer Discretionary
V-MART RETAIL LTD.,534976,Consumer Discretionary
V.I.P.INDUSTRIES LTD.,507880,Consumer Discretionary
V.S.T.TILLERS TRACTORS LTD.,531266,Industrials
V2 RETAIL LTD.,532867,Consumer Discretionary
VA TECH WABAG LTD.,533269,Utilities
VADILAL INDUSTRIES LTD.,519156,Fast Moving Consumer Goods
VAIBHAV GLOBAL LTD,532156,Consumer Discretionary
VARDHMAN SPECIAL STEELS LTD.,534392,Industrials
VARDHMAN TEXTILES LTD.,502986,Consumer Discretionary
Varroc Engineering Limited,541578,Consumer Discretionary
Varun Beverages Limited,540180,Fast Moving Consumer Goods
Vedant Fashions Limited,543463,Consumer Discretionary
VENKYS (INDIA) LTD.,523261,Fast Moving Consumer Goods
Ventive Hospitality Limited,544321,Consumer Discretionary
Venus Pipes & Tubes Limited,543528,Industrials
VESUVIUS INDIA LTD.,520113,Industrials
Vijaya Diagnostic Centre Limit,543350,Healthcare
Vikram Solar Limited,544488,Industrials
VINATI ORGANICS LTD.,524200,Commodities
Vishal Mega Mart Limited,544307,Consumer Discretionary
VISHNU CHEMICALS LTD.,516072,Commodities
VIYASH SCIENTIFIC LIMITED,512529,Healthcare
VODAFONE IDEA  LIMITED,532822,Telecommunication
VOLTAMP TRANSFORMERS LTD.,532757,Industrials
VOLTAS LTD.,500575,Consumer Discretionary
VRL Logistics Limited,539118,Services
VST INDUSTRIES LTD.,509966,Fast Moving Consumer Goods
Waaree Energies Limited,544277,Industrials
WAAREE RENEWABLE TECHNOLOGIES,534618,Industrials
Wakefit Innovations Limited,544642,Consumer Discretionary
WEBSOL ENERGY SYSTEM LTD.,517498,Industrials
WELSPUN CORP LIMITED,532144,Industrials
WELSPUN ENTERPRISES LIMTED,532553,Industrials
WELSPUN LIVING LIMITED,514162,Consumer Discretionary
West Coast Paper Mills Limited,500444,Commodities
WESTLIFE FOODWORLD LIMITED,505533,Consumer Discretionary
WeWork India Management Limite,544570,Services
WHIRLPOOL OF INDIA LTD.,500238,Consumer Discretionary
WIPRO LTD.,507685,Information Technology
WOCKHARDT LTD.,532300,Healthcare
WONDERLA HOLIDAYS LTD,538268,Consumer Discretionary
WPIL LTD.,505872,Industrials
YATHARTH HOSPITAL & TRAUMA CAR,543950,Healthcare
YATRA ONLINE LIMITED,543992,Consumer Discretionary
YES BANK LTD.,532648,Financial Services
ZAGGLE PREPAID OCEAN SERVICES,543985,Information Technology
ZEE ENTERTAINMENT ENTERPRISES,505537,Consumer Discretionary
ZEN TECHNOLOGIES LTD.,533339,Industrials
ZENSAR TECHNOLOGIES LTD.,504067,Information Technology
ZF Commercial Vehicle Control,533023,Consumer Discretionary
Zydus Lifesciences Limited,532321,Healthcare
ZYDUS WELLNESS LTD.,531335,Fast Moving Consumer Goods
